Label   ,  Train Images , Validation Images
A   , 3000          , 30
B   , 3000          , 30
C   , 3000          , 30
D   , 3000          , 30
E   , 3000          , 30
F   , 3000          , 30
G   , 3000          , 30
H   , 3000          , 30
I   , 3000          , 30
J   , 3000          , 30
K   , 3000          , 30
L   , 3000          , 30
M   , 3000          , 30
N   , 3000          , 30
O   , 3000          , 30
P   , 3000          , 30
Q   , 3000          , 30
R   , 3000          , 30
S   , 3000          , 30
T   , 3000          , 30
U   , 3000          , 30
V   , 3000          , 30
W   , 3000          , 30
X   , 3000          , 30
Y   , 3000          , 30
Z   , 3000          , 30
del   , 3000          , 30
space   , 3000          , 30
nothing   , 3000          , 30






P
